department,leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,ageYears,tenureMonths,attendanceReliability,status
Health & Safety,Sick Leave,5,3,0,1,40,204,82.8,Approved
Health & Safety,Sick Leave,2,3,0,1,34,168,87.6,Approved
Administration,Casual Leave,2,3,0,4,36,132,93.6,Approved
Health & Safety,Sick Leave,1,3,1,2,34,168,87.5,Approved
Health & Safety,Sick Leave,1,3,3,3,33,156,80.6,Approved
Health & Safety,Sick Leave,1,3,3,2,40,204,81.1,Approved
Health & Safety,Sick Leave,1,3,4,5,36,132,92.0,Approved
Health & Safety,Sick Leave,1,3,4,9,28,108,82.3,Rejected
Health & Safety,Sick Leave,1,3,0,0,39,168,86.7,Approved
Health & Safety,Sick Leave,3,3,1,0,38,216,84.0,Approved
Health & Safety,Sick Leave,1,3,2,9,28,108,92.0,Rejected
Health & Safety,Sick Leave,1,3,0,9,28,108,88.6,Approved
Health & Safety,Sick Leave,1,3,0,3,30,108,87.3,Rejected
Health & Safety,Sick Leave,1,3,1,10,28,108,77.2,Approved
Health & Safety,Sick Leave,2,3,2,11,28,108,96.9,Rejected
Health & Safety,Sick Leave,1,3,2,1,38,216,83.8,Approved
Health & Safety,Sick Leave,2,3,3,1,39,168,100.0,Approved
Health & Safety,Sick Leave,1,3,4,11,28,108,90.9,Approved
Health & Safety,Sick Leave,1,3,4,1,47,168,90.8,Rejected
Health & Safety,Sick Leave,1,3,0,12,28,108,89.6,Approved
Health & Safety,Sick Leave,1,4,2,1,40,144,74.4,Approved
Health & Safety,Sick Leave,1,4,2,13,28,108,97.7,Rejected
Health & Safety,Sick Leave,1,4,1,3,34,168,86.6,Rejected
Health & Safety,Sick Leave,3,4,2,1,41,192,89.0,Approved
Health & Safety,Sick Leave,1,4,3,3,34,168,87.0,Approved
Health & Safety,Sick Leave,1,4,4,13,28,108,78.2,Approved
Health & Safety,Sick Leave,1,4,4,6,36,132,90.9,Rejected
Health & Safety,Sick Leave,3,4,2,2,38,216,88.7,Approved
Health & Safety,Sick Leave,1,4,3,0,50,216,89.6,Approved
Health & Safety,Sick Leave,1,4,4,2,40,144,87.6,Approved
Health & Safety,Sick Leave,1,4,4,2,41,192,92.3,Approved
Health & Safety,Sick Leave,1,4,4,3,40,144,79.8,Rejected
Health & Safety,Sick Leave,1,4,4,1,47,168,84.9,Approved
Administration,Casual Leave,7,4,4,6,36,132,88.5,Rejected
Administration,Casual Leave,1,4,1,4,33,156,99.4,Rejected
Health & Safety,Sick Leave,3,4,2,4,34,168,79.6,Approved
Administration,Casual Leave,1,4,2,0,36,132,89.5,Approved
Health & Safety,Sick Leave,2,4,3,4,33,156,86.3,Approved
Health & Safety,Sick Leave,1,4,4,0,37,168,81.1,Approved
Administration,Casual Leave,1,4,0,0,48,144,89.4,Rejected
Health & Safety,Sick Leave,1,5,2,5,33,156,95.7,Approved
Health & Safety,Sick Leave,1,5,3,5,34,168,84.1,Approved
Health & Safety,Sick Leave,1,5,0,6,34,168,82.7,Approved
Operations,Annual Leave,1,5,1,3,38,216,94.3,Rejected
Administration,Casual Leave,1,5,1,14,28,108,84.7,Approved
Health & Safety,Sick Leave,1,5,2,2,27,84,85.4,Approved
Health & Safety,Sick Leave,1,5,0,7,34,168,83.2,Approved
Health & Safety,Sick Leave,1,5,1,3,38,216,92.7,Approved
Health & Safety,Sick Leave,3,5,2,6,33,156,85.9,Approved
Administration,Casual Leave,1,5,2,2,39,168,78.1,Rejected
Administration,Casual Leave,1,5,2,1,28,48,79.4,Rejected
Administration,Casual Leave,1,5,2,1,36,132,87.8,Rejected
Administration,Casual Leave,1,5,2,2,50,108,92.2,Rejected
Health & Safety,Sick Leave,1,5,1,4,38,216,85.9,Rejected
Health & Safety,Sick Leave,3,5,2,1,50,216,78.0,Rejected
Health & Safety,Sick Leave,1,5,4,0,28,36,79.3,Rejected
Administration,Casual Leave,1,6,0,3,41,192,88.6,Approved
Health & Safety,Sick Leave,1,6,0,0,28,36,88.7,Approved
Health & Safety,Sick Leave,3,6,1,4,41,192,83.1,Approved
Health & Safety,Sick Leave,1,6,3,3,40,144,89.9,Approved
Health & Safety,Sick Leave,1,6,4,5,41,192,91.9,Approved
Health & Safety,Sick Leave,1,6,0,4,38,216,88.0,Rejected
Health & Safety,Sick Leave,1,6,0,8,34,168,87.3,Approved
Health & Safety,Sick Leave,1,6,0,6,41,192,83.7,Approved
Health & Safety,Sick Leave,1,6,2,1,50,216,86.9,Approved
Health & Safety,Sick Leave,2,6,4,1,37,168,93.2,Approved
Health & Safety,Sick Leave,1,6,1,2,50,216,86.2,Approved
Health & Safety,Sick Leave,10,6,2,3,50,216,100.0,Approved
Health & Safety,Sick Leave,1,6,3,1,36,132,90.1,Rejected
Health & Safety,Sick Leave,1,6,4,4,38,216,85.5,Approved
Health & Safety,Sick Leave,1,6,0,0,49,348,92.7,Approved
Health & Safety,Sick Leave,1,6,3,15,28,108,95.8,Approved
Administration,Casual Leave,2,7,1,9,34,168,92.2,Approved
Health & Safety,Sick Leave,1,7,2,4,50,216,78.1,Approved
Health & Safety,Sick Leave,1,7,4,8,37,120,85.9,Approved
Administration,Casual Leave,1,7,4,9,37,120,91.9,Approved
Administration,Casual Leave,1,7,1,1,28,48,94.6,Approved
Operations,Annual Leave,1,7,3,3,30,108,78.5,Approved
Health & Safety,Sick Leave,1,7,4,10,34,168,90.0,Approved
Health & Safety,Sick Leave,1,7,0,2,28,48,80.9,Approved
Health & Safety,Sick Leave,1,7,1,3,28,48,87.7,Approved
Health & Safety,Sick Leave,1,7,0,1,29,72,89.1,Approved
Health & Safety,Sick Leave,1,7,1,1,28,36,88.5,Rejected
Administration,Casual Leave,1,7,2,7,33,156,80.0,Rejected
Administration,Casual Leave,1,7,3,5,38,216,83.2,Approved
Administration,Casual Leave,4,7,0,7,33,156,79.7,Approved
Administration,Casual Leave,1,7,3,8,33,156,77.2,Approved
Administration,Casual Leave,1,7,3,6,36,132,92.6,Rejected
Administration,Casual Leave,1,8,4,9,33,156,83.1,Approved
Administration,Casual Leave,1,8,4,2,29,72,95.3,Approved
Health & Safety,Sick Leave,1,8,0,10,33,156,76.4,Approved
Operations,Annual Leave,1,8,1,0,58,192,92.7,Rejected
Health & Safety,Sick Leave,1,8,3,0,43,156,90.4,Approved
Health & Safety,Sick Leave,1,8,3,1,43,156,91.3,Approved
Health & Safety,Sick Leave,1,8,4,6,36,132,85.0,Approved
Health & Safety,Sick Leave,1,8,1,11,33,156,82.2,Approved
Health & Safety,Sick Leave,1,8,2,2,47,168,91.8,Approved
Health & Safety,Sick Leave,1,8,3,0,33,96,86.2,Approved
Health & Safety,Sick Leave,1,8,3,4,30,108,92.5,Approved
Health & Safety,Sick Leave,1,8,3,5,50,216,100.0,Approved
Health & Safety,Sick Leave,1,8,0,3,47,168,89.8,Approved
Health & Safety,Sick Leave,1,8,1,2,37,168,92.9,Approved
Health & Safety,Sick Leave,1,8,3,6,50,216,86.7,Rejected
Administration,Casual Leave,1,8,3,3,37,168,78.8,Approved
Health & Safety,Sick Leave,1,8,1,1,28,36,100.0,Approved
Health & Safety,Sick Leave,1,8,2,3,27,84,93.9,Approved
Health & Safety,Sick Leave,1,9,0,6,38,216,81.3,Approved
Health & Safety,Sick Leave,1,9,4,7,38,216,88.9,Rejected
Administration,Casual Leave,3,9,2,12,33,156,84.0,Rejected
Administration,Casual Leave,1,9,3,0,43,156,78.4,Rejected
Health & Safety,Sick Leave,2,9,0,7,41,192,93.5,Approved
Health & Safety,Sick Leave,1,9,1,4,40,144,88.5,Rejected
Administration,Casual Leave,1,9,1,0,39,168,81.6,Rejected
Administration,Casual Leave,1,9,1,1,32,144,86.8,Rejected
Health & Safety,Sick Leave,1,9,2,7,38,216,92.3,Approved
Health & Safety,Sick Leave,4,9,2,8,41,192,88.4,Approved
Health & Safety,Sick Leave,1,9,3,8,38,216,95.4,Approved
Health & Safety,Sick Leave,1,9,4,4,40,144,87.2,Approved
Health & Safety,Sick Leave,1,9,4,7,36,132,84.3,Approved
Administration,Casual Leave,1,9,2,0,43,156,82.5,Approved
Health & Safety,Sick Leave,1,9,3,6,50,216,80.9,Rejected
Administration,Casual Leave,1,9,3,1,43,156,96.6,Rejected
Health & Safety,Sick Leave,1,9,4,5,40,144,90.1,Approved
Health & Safety,Sick Leave,5,9,0,6,40,144,92.0,Approved
Health & Safety,Sick Leave,1,9,0,9,38,216,90.3,Approved
Operations,Annual Leave,1,10,0,12,33,156,82.1,Approved
Administration,Casual Leave,1,10,0,4,37,168,76.8,Approved
Administration,Casual Leave,1,10,0,13,33,156,83.0,Approved
Health & Safety,Sick Leave,1,10,4,14,33,156,88.6,Approved
Administration,Casual Leave,1,10,4,6,50,216,94.5,Rejected
Administration,Casual Leave,1,10,4,4,47,168,84.9,Rejected
Health & Safety,Sick Leave,1,10,0,5,30,108,82.8,Approved
Health & Safety,Sick Leave,1,10,0,10,37,120,81.3,Rejected
Health & Safety,Sick Leave,1,10,0,0,31,144,78.8,Approved
Health & Safety,Sick Leave,1,10,2,10,38,216,91.0,Approved
Health & Safety,Sick Leave,8,10,2,6,30,108,85.0,Approved
Administration,Casual Leave,1,10,2,1,43,156,88.5,Rejected
Administration,Casual Leave,2,10,3,15,33,156,98.1,Approved
Health & Safety,Sick Leave,1,10,4,8,36,132,81.2,Approved
Administration,Casual Leave,1,10,4,1,43,156,98.2,Rejected
Health & Safety,Sick Leave,1,10,0,1,43,156,89.2,Approved
Health & Safety,Sick Leave,1,10,1,6,50,216,90.0,Approved
Health & Safety,Sick Leave,1,10,1,7,40,144,86.5,Approved
Health & Safety,Sick Leave,2,10,3,7,30,108,79.8,Approved
Health & Safety,Sick Leave,1,10,3,7,50,216,91.1,Approved
Health & Safety,Sick Leave,1,10,0,2,28,36,96.1,Rejected
Administration,Casual Leave,1,10,1,9,36,132,89.0,Rejected
Administration,Casual Leave,1,10,1,8,40,144,87.7,Rejected
Administration,Casual Leave,1,10,1,3,29,72,78.2,Rejected
Health & Safety,Sick Leave,1,10,2,8,30,108,88.2,Approved
Health & Safety,Sick Leave,1,10,2,9,30,108,84.5,Approved
Health & Safety,Sick Leave,1,10,3,8,50,216,81.3,Approved
Health & Safety,Sick Leave,1,11,0,10,37,120,88.3,Approved
Health & Safety,Sick Leave,1,11,0,4,47,168,94.4,Approved
Health & Safety,Sick Leave,1,11,1,11,38,216,81.6,Approved
Health & Safety,Sick Leave,1,11,4,9,36,132,93.4,Approved
Health & Safety,Sick Leave,1,11,0,8,40,144,83.6,Approved
Health & Safety,Sick Leave,1,11,0,1,36,132,89.9,Approved
Health & Safety,Sick Leave,10,11,0,11,34,168,80.7,Rejected
Administration,Casual Leave,1,11,0,2,43,156,86.8,Approved
Administration,Casual Leave,1,11,1,4,28,48,87.6,Rejected
Operations,Annual Leave,1,11,2,5,37,168,96.3,Approved
Health & Safety,Sick Leave,1,11,2,11,37,120,80.0,Rejected
Health & Safety,Sick Leave,1,11,3,6,37,168,83.0,Approved
Health & Safety,Sick Leave,1,11,3,12,38,216,90.1,Approved
Health & Safety,Sick Leave,1,11,4,9,41,192,80.3,Approved
Health & Safety,Sick Leave,1,11,4,9,40,144,91.1,Approved
Health & Safety,Sick Leave,1,11,0,10,41,192,81.5,Approved
Health & Safety,Sick Leave,1,11,1,13,38,216,83.5,Approved
Health & Safety,Sick Leave,1,11,2,10,36,132,100.0,Approved
Operations,Annual Leave,1,11,4,11,36,132,81.9,Approved
Administration,Casual Leave,1,11,4,2,36,132,86.6,Rejected
Administration,Casual Leave,1,11,1,2,39,168,83.6,Rejected
Health & Safety,Sick Leave,1,11,3,14,38,216,87.6,Approved
Health & Safety,Sick Leave,1,12,0,16,28,108,85.3,Rejected
Health & Safety,Sick Leave,1,12,0,15,38,216,96.4,Approved
Health & Safety,Sick Leave,1,12,0,16,38,216,83.8,Rejected
Health & Safety,Sick Leave,1,12,0,7,37,168,84.9,Approved
Health & Safety,Sick Leave,1,12,1,9,50,216,71.6,Approved
Health & Safety,Sick Leave,1,12,4,12,36,132,86.4,Approved
Health & Safety,Sick Leave,1,12,3,11,41,192,87.7,Approved
Health & Safety,Sick Leave,1,12,3,16,38,216,88.5,Approved
Health & Safety,Sick Leave,1,12,4,17,38,216,78.2,Approved
Health & Safety,Sick Leave,1,12,1,10,30,108,94.6,Approved
Health & Safety,Sick Leave,1,12,1,11,37,120,78.7,Approved
Health & Safety,Sick Leave,1,12,3,8,37,168,78.2,Rejected
Health & Safety,Sick Leave,1,12,1,3,43,156,93.8,Approved
Health & Safety,Sick Leave,1,12,1,8,37,168,80.8,Approved
Administration,Casual Leave,1,12,2,13,36,132,76.8,Approved
Health & Safety,Sick Leave,1,12,0,3,29,72,94.4,Approved
Health & Safety,Sick Leave,1,12,0,18,38,216,83.4,Approved
Administration,Casual Leave,1,12,0,16,33,156,97.3,Approved
Health & Safety,Sick Leave,1,1,2,0,28,108,94.6,Approved
Administration,Casual Leave,4,1,0,0,37,120,86.2,Approved
Health & Safety,Sick Leave,1,1,0,0,34,168,89.4,Approved
Health & Safety,Sick Leave,1,1,1,0,37,168,88.8,Rejected
Health & Safety,Sick Leave,1,1,1,1,34,168,77.7,Approved
Administration,Casual Leave,1,1,0,0,33,156,93.6,Approved
Health & Safety,Sick Leave,1,1,2,0,40,144,89.5,Approved
Administration,Casual Leave,1,1,0,0,43,156,82.9,Rejected
Administration,Casual Leave,1,1,0,0,50,216,92.2,Approved
Health & Safety,Sick Leave,1,1,2,0,38,216,83.7,Approved
Health & Safety,Sick Leave,1,1,4,1,38,216,89.1,Approved
Health & Safety,Sick Leave,1,2,1,1,37,120,91.9,Approved
Administration,Casual Leave,1,2,2,2,38,216,83.3,Approved
Health & Safety,Sick Leave,1,2,2,1,28,108,90.4,Approved
Health & Safety,Sick Leave,1,2,4,1,33,156,89.6,Rejected
Health & Safety,Sick Leave,1,2,4,0,36,132,81.6,Approved
Health & Safety,Sick Leave,1,2,4,3,38,216,89.2,Approved
Administration,Casual Leave,1,2,0,4,38,216,82.6,Approved
Health & Safety,Sick Leave,1,2,3,5,38,216,83.7,Approved
Administration,Casual Leave,1,2,3,0,41,192,91.1,Approved
Administration,Casual Leave,1,2,4,6,38,216,86.8,Approved
Health & Safety,Sick Leave,1,2,0,2,33,156,93.0,Approved
Administration,Casual Leave,1,2,0,7,38,216,90.9,Approved
Health & Safety,Sick Leave,1,2,1,1,41,192,87.4,Approved
Health & Safety,Sick Leave,1,2,1,1,40,144,100.0,Approved
Health & Safety,Sick Leave,2,2,2,0,29,72,93.7,Rejected
Health & Safety,Sick Leave,3,2,4,2,41,192,96.8,Approved
Operations,Annual Leave,1,3,1,2,37,120,84.1,Approved
Administration,Casual Leave,2,3,2,3,41,192,87.9,Approved
Health & Safety,Sick Leave,1,3,4,4,41,192,84.1,Approved
Health & Safety,Sick Leave,1,3,4,1,36,132,98.2,Approved
Health & Safety,Sick Leave,1,3,0,8,38,216,81.9,Approved
Health & Safety,Sick Leave,1,3,0,0,37,168,93.9,Rejected
Health & Safety,Sick Leave,1,3,1,3,40,204,95.1,Approved
Health & Safety,Sick Leave,1,3,1,0,36,132,92.6,Approved
Health & Safety,Sick Leave,2,3,0,9,38,216,79.5,Approved
Health & Safety,Sick Leave,1,3,2,0,28,36,89.5,Approved
Administration,Casual Leave,1,3,2,0,31,144,89.1,Rejected
Operations,Annual Leave,1,3,3,0,37,168,88.8,Rejected
Health & Safety,Sick Leave,1,3,4,1,50,216,73.0,Approved
Health & Safety,Sick Leave,1,3,1,2,50,216,85.5,Approved
Health & Safety,Sick Leave,1,3,2,3,50,216,81.1,Approved
Administration,Casual Leave,1,3,3,0,37,168,81.1,Rejected
Administration,Casual Leave,1,3,3,5,41,192,80.9,Rejected
Administration,Casual Leave,1,3,3,4,50,216,87.5,Rejected
Health & Safety,Sick Leave,1,3,4,10,38,216,83.6,Approved
Health & Safety,Sick Leave,1,3,4,1,33,156,85.5,Approved
Administration,Casual Leave,1,3,0,2,36,132,91.0,Approved
Health & Safety,Sick Leave,1,3,1,5,41,192,94.0,Rejected
Health & Safety,Sick Leave,1,4,2,11,38,216,99.2,Approved
Health & Safety,Sick Leave,1,4,4,3,36,132,84.2,Rejected
Administration,Casual Leave,1,4,4,0,28,48,86.8,Rejected
Health & Safety,Sick Leave,1,4,0,0,31,144,84.6,Approved
Administration,Casual Leave,1,4,0,0,47,168,100.0,Rejected
Health & Safety,Sick Leave,1,4,2,0,28,48,84.5,Approved
Health & Safety,Sick Leave,1,4,2,12,38,216,87.4,Approved
Health & Safety,Sick Leave,1,4,0,4,50,216,82.2,Approved
Health & Safety,Sick Leave,10,4,2,5,50,216,86.8,Approved
Health & Safety,Sick Leave,1,4,4,0,43,156,77.1,Approved
Health & Safety,Sick Leave,1,4,4,3,36,132,87.3,Approved
Health & Safety,Sick Leave,1,4,0,13,38,216,87.2,Approved
Health & Safety,Sick Leave,1,4,2,3,37,120,87.7,Approved
Health & Safety,Sick Leave,2,5,0,0,43,156,81.7,Rejected
Health & Safety,Sick Leave,1,5,2,0,47,168,76.1,Rejected
Health & Safety,Sick Leave,1,5,0,1,31,144,83.3,Approved
Health & Safety,Sick Leave,1,5,2,0,30,108,92.1,Rejected
Health & Safety,Sick Leave,1,5,2,14,38,216,90.7,Approved
Health & Safety,Sick Leave,1,5,3,1,28,36,83.7,Approved
Health & Safety,Sick Leave,1,5,4,4,36,132,84.5,Approved
Health & Safety,Sick Leave,1,5,0,4,40,204,98.2,Approved
Health & Safety,Sick Leave,1,5,0,5,40,204,83.8,Approved
Operations,Annual Leave,1,5,2,0,58,192,79.6,Approved
Health & Safety,Sick Leave,1,5,2,2,28,108,100.0,Approved
Health & Safety,Sick Leave,1,5,4,1,28,48,86.5,Approved
Health & Safety,Sick Leave,1,5,0,0,30,108,96.1,Approved
Health & Safety,Sick Leave,1,5,0,4,37,120,87.5,Approved
Health & Safety,Sick Leave,1,5,0,0,37,168,85.4,Approved
Health & Safety,Sick Leave,1,6,0,5,37,120,88.5,Approved
Health & Safety,Sick Leave,1,6,0,15,38,216,84.6,Approved
Health & Safety,Sick Leave,1,6,1,6,37,120,86.2,Approved
Health & Safety,Sick Leave,1,6,3,3,28,108,88.7,Approved
Health & Safety,Sick Leave,1,6,4,5,36,132,90.5,Approved
Administration,Casual Leave,1,6,4,16,38,216,85.8,Rejected
Health & Safety,Sick Leave,5,6,0,2,40,144,92.3,Approved
Health & Safety,Sick Leave,3,6,0,16,38,216,95.1,Rejected
Health & Safety,Sick Leave,1,6,1,5,41,192,99.1,Approved
Health & Safety,Sick Leave,1,6,0,16,38,216,91.1,Approved
Administration,Casual Leave,1,6,1,0,43,156,91.6,Approved
Health & Safety,Sick Leave,1,6,0,17,38,216,100.0,Approved
Health & Safety,Sick Leave,1,6,2,4,28,108,87.6,Approved
Health & Safety,Sick Leave,1,6,2,6,50,216,88.1,Approved
Health & Safety,Sick Leave,1,6,2,18,38,216,83.1,Rejected
Operations,Annual Leave,1,6,2,1,30,108,83.3,Rejected
Health & Safety,Sick Leave,1,6,4,6,41,192,88.1,Approved
Health & Safety,Sick Leave,1,6,1,2,28,48,84.5,Rejected
Health & Safety,Sick Leave,1,6,1,1,37,168,94.2,Approved
Health & Safety,Sick Leave,1,7,3,1,30,108,86.1,Approved
Health & Safety,Sick Leave,1,7,3,5,28,108,88.8,Approved
Health & Safety,Sick Leave,1,7,4,6,36,132,79.8,Approved
Health & Safety,Sick Leave,1,7,0,0,33,96,89.2,Approved
Health & Safety,Sick Leave,1,7,4,2,28,48,88.9,Rejected
Administration,Casual Leave,1,7,4,7,37,120,99.1,Approved
Administration,Casual Leave,1,7,0,7,36,132,74.2,Approved
Health & Safety,Sick Leave,1,7,1,8,37,120,91.1,Approved
Operations,Annual Leave,1,7,0,1,43,156,77.0,Approved
Health & Safety,Sick Leave,1,7,0,0,48,144,95.2,Approved
Health & Safety,Sick Leave,1,7,1,7,41,192,93.8,Approved
Health & Safety,Sick Leave,10,7,1,6,28,108,84.3,Approved
Health & Safety,Sick Leave,1,7,1,18,38,216,91.6,Approved
Health & Safety,Sick Leave,1,7,4,7,50,216,85.3,Approved
Health & Safety,Sick Leave,1,7,4,2,28,36,95.5,Approved
Health & Safety,Sick Leave,1,7,0,2,33,156,80.2,Approved
Administration,Casual Leave,1,7,0,1,43,156,85.7,Approved
Health & Safety,Sick Leave,1,7,3,3,40,144,81.8,Approved
Health & Safety,Sick Leave,1,7,3,0,39,168,87.2,Approved
Health & Safety,Sick Leave,1,8,3,19,38,216,87.8,Approved
Health & Safety,Sick Leave,1,8,0,6,40,204,87.9,Approved
Health & Safety,Sick Leave,1,8,1,8,41,192,87.0,Approved
Health & Safety,Sick Leave,1,8,1,9,37,120,91.3,Approved
Administration,Casual Leave,1,8,1,3,33,156,91.5,Approved
Administration,Casual Leave,1,8,1,2,43,156,98.7,Approved
Health & Safety,Sick Leave,1,8,3,4,40,144,96.3,Approved
Health & Safety,Sick Leave,1,8,0,20,38,216,85.9,Approved
Health & Safety,Sick Leave,1,8,1,7,40,204,96.8,Approved
Health & Safety,Sick Leave,2,8,3,2,28,48,77.7,Approved
Health & Safety,Sick Leave,1,8,1,2,37,168,84.4,Approved
Health & Safety,Sick Leave,1,8,1,9,41,192,85.7,Approved
Health & Safety,Sick Leave,1,8,1,10,37,120,91.2,Rejected
Health & Safety,Sick Leave,1,8,3,5,40,144,87.8,Approved
Health & Safety,Sick Leave,1,8,0,8,36,132,98.4,Approved
Health & Safety,Sick Leave,1,9,1,10,41,192,91.4,Approved
Health & Safety,Sick Leave,1,9,1,10,37,120,80.9,Rejected
Health & Safety,Sick Leave,1,9,1,2,34,168,89.4,Approved
Health & Safety,Sick Leave,1,9,3,6,40,144,79.4,Approved
Health & Safety,Sick Leave,1,9,4,2,30,108,97.0,Approved
Health & Safety,Sick Leave,1,9,4,0,47,168,83.1,Rejected
Health & Safety,Sick Leave,1,9,0,21,38,216,89.5,Approved
Health & Safety,Sick Leave,1,9,2,7,28,108,89.4,Approved
Health & Safety,Sick Leave,1,9,0,3,30,108,95.8,Approved
Health & Safety,Sick Leave,1,9,1,2,31,144,94.0,Approved
Health & Safety,Sick Leave,1,9,1,3,28,36,92.2,Approved
Health & Safety,Sick Leave,1,10,3,1,49,348,81.8,Approved
Health & Safety,Sick Leave,1,10,3,0,32,96,88.6,Approved
Administration,Casual Leave,1,10,4,11,41,192,93.3,Rejected
Health & Safety,Sick Leave,1,10,2,2,49,348,96.0,Approved
Health & Safety,Sick Leave,1,10,2,7,40,144,83.6,Approved
Health & Safety,Sick Leave,1,10,1,10,37,120,85.3,Approved
Health & Safety,Sick Leave,1,10,3,3,49,348,82.6,Approved
Health & Safety,Sick Leave,1,10,4,8,40,144,89.2,Rejected
Health & Safety,Sick Leave,1,10,1,8,28,108,89.4,Approved
Health & Safety,Sick Leave,1,10,1,3,31,144,86.9,Approved
Health & Safety,Sick Leave,1,10,1,4,31,144,81.4,Approved
Health & Safety,Sick Leave,1,10,1,9,28,108,76.2,Approved
Administration,Casual Leave,1,10,1,5,31,144,96.0,Approved
Health & Safety,Sick Leave,1,10,2,22,38,216,93.5,Approved
Health & Safety,Sick Leave,1,10,2,1,58,192,85.9,Rejected
Health & Safety,Sick Leave,1,10,2,8,40,144,78.6,Approved
Health & Safety,Sick Leave,1,10,3,6,31,144,89.7,Approved
Health & Safety,Sick Leave,1,10,3,10,28,108,88.9,Approved
Health & Safety,Sick Leave,1,10,4,7,31,144,86.2,Approved
Health & Safety,Sick Leave,1,10,4,11,28,108,84.9,Approved
Health & Safety,Sick Leave,1,10,0,3,33,156,80.5,Approved
Health & Safety,Sick Leave,1,10,0,1,32,96,90.5,Approved
Health & Safety,Sick Leave,1,10,0,0,47,168,86.7,Approved
Administration,Casual Leave,1,10,0,12,28,108,83.9,Rejected
Health & Safety,Sick Leave,1,10,1,12,28,108,91.3,Rejected
Operations,Annual Leave,1,11,1,23,38,216,90.1,Approved
Health & Safety,Sick Leave,1,11,2,11,37,120,97.8,Approved
Health & Safety,Sick Leave,3,11,2,3,28,48,96.8,Approved
Health & Safety,Sick Leave,1,11,4,24,38,216,98.5,Approved
Health & Safety,Sick Leave,1,11,1,12,37,120,80.6,Approved
Operations,Annual Leave,1,11,2,4,33,156,84.9,Approved
Health & Safety,Sick Leave,1,11,4,2,32,96,96.9,Rejected
Health & Safety,Sick Leave,1,11,4,12,28,108,92.2,Approved
Health & Safety,Sick Leave,1,11,1,4,28,36,80.3,Approved
Health & Safety,Sick Leave,1,11,2,9,40,144,91.8,Approved
Health & Safety,Sick Leave,1,11,3,13,37,120,90.0,Rejected
Health & Safety,Sick Leave,1,11,3,13,28,108,83.6,Rejected
Health & Safety,Sick Leave,1,11,0,25,38,216,89.6,Approved
Health & Safety,Sick Leave,1,11,0,13,37,120,76.7,Approved
Health & Safety,Sick Leave,1,11,1,14,37,120,92.5,Approved
Health & Safety,Sick Leave,1,11,1,13,28,108,90.7,Approved
Administration,Casual Leave,1,11,1,10,40,144,99.1,Rejected
Administration,Casual Leave,1,11,2,5,33,156,100.0,Rejected
Health & Safety,Sick Leave,1,11,3,1,47,168,92.8,Approved
Administration,Casual Leave,1,11,3,3,43,156,88.2,Rejected
Health & Safety,Sick Leave,1,11,4,14,28,108,92.7,Approved
Administration,Casual Leave,1,11,4,8,31,144,89.4,Approved
Health & Safety,Sick Leave,1,11,0,5,28,36,88.7,Approved
Health & Safety,Sick Leave,4,12,1,26,38,216,88.1,Approved
Health & Safety,Sick Leave,1,12,2,10,40,144,92.0,Rejected
Health & Safety,Sick Leave,1,12,2,15,28,108,79.4,Rejected
Health & Safety,Sick Leave,1,12,4,4,30,108,92.2,Rejected
Health & Safety,Sick Leave,1,12,4,15,28,108,92.9,Approved
Health & Safety,Sick Leave,1,12,3,6,28,36,85.1,Rejected
Operations,Annual Leave,1,12,4,8,40,204,75.2,Approved
Administration,Casual Leave,1,12,4,3,43,156,85.4,Approved
Operations,Annual Leave,1,12,0,0,31,12,81.7,Rejected
Health & Safety,Sick Leave,2,12,1,4,30,108,87.8,Approved
Health & Safety,Sick Leave,1,12,1,16,28,108,93.7,Approved
Health & Safety,Sick Leave,1,12,3,17,28,108,90.3,Approved
Health & Safety,Sick Leave,1,12,0,18,28,108,85.6,Approved
Operations,Annual Leave,10,12,1,3,34,168,80.7,Approved
Health & Safety,Sick Leave,3,1,0,0,30,108,89.3,Approved
Health & Safety,Sick Leave,2,1,3,1,30,108,96.8,Approved
Health & Safety,Sick Leave,1,1,3,0,40,204,92.0,Approved
Health & Safety,Sick Leave,1,1,4,1,40,204,93.9,Approved
Health & Safety,Sick Leave,1,1,0,2,30,108,85.7,Approved
Health & Safety,Sick Leave,1,1,2,2,40,204,98.8,Approved
Health & Safety,Sick Leave,1,1,3,0,49,348,79.7,Rejected
Operations,Annual Leave,1,1,4,3,40,204,84.4,Approved
Administration,Casual Leave,1,1,0,3,30,108,87.6,Approved
Operations,Annual Leave,1,1,1,0,34,168,90.3,Approved
Administration,Casual Leave,1,1,2,4,30,108,91.2,Approved
Administration,Casual Leave,1,1,2,0,38,216,89.6,Approved
Health & Safety,Sick Leave,1,1,2,0,33,156,86.6,Approved
Administration,Casual Leave,1,1,3,1,38,216,86.1,Approved
Administration,Casual Leave,1,1,4,2,38,216,92.6,Approved
Health & Safety,Sick Leave,1,2,1,3,38,216,82.4,Approved
Health & Safety,Sick Leave,1,2,1,0,28,108,85.3,Approved
Health & Safety,Sick Leave,1,2,2,0,47,168,90.7,Approved
Administration,Casual Leave,1,2,2,4,38,216,95.1,Approved
Health & Safety,Sick Leave,1,2,3,1,28,108,78.8,Approved
Administration,Casual Leave,1,2,3,5,38,216,86.5,Approved
